objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
Early-MTH-sketch-,Early-MTH-sketch.jpg,,,Early Sketch of Mark Twain House,,,,,,,,,The Mark Twain House & Museum,Early MTH sketch ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Edward-T--Potter,Edward-T.-Potter.jpg,,,Portrait of Edward Tuckerman Potter,,,,,,,,,The Mark Twain House & Museum,Edward T. Potter,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Employees--1-Patrick-McAleer,Patrick.jpg,,,Patrick McAleer,,,,,,,,,The Mark Twain House & Museum,Employees -1 Patrick McAleer,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Employees--21-Katy-Leary,Katy-Leary.tif,,,Katy Leary,H.L. Bundy,,,,,,,,The Mark Twain House & Museum,Employees -21 Katy Leary,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Mueum, Gift in memory of Marguerite Leary Conway, 2005",
Employees--6-John--&-Ellen-O'Neil,Oneills1905-lightened.JPG,,,John & Ellen O'Neil,,1905,,,,,,," The Mark Twain Papers, Bancroft Library, University of California at Berkeley",Employees -6 John  & Ellen O'Neil,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of The Mark Twain Papers, Bancroft Library, University of California at Berkeley",
EX24-Prop01,no,,,Architectural Planning Sketch (reproduction),Edward Tuckerman Potter,1873,,Culture; Arts; Visual Arts; Drawing; Environment; Built Environment; Buildings/Architecture,Edward Tuckerman Potter,,41.76705545,-72.70141583,The Mark Twain House & Museum,EX24-Prop01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Musuem Collections,
Exterior-1874-81--7,Exterior-1874-81--7.jpg,,,The Mark Twain House,Unidentified photographer,1874-1881,,Environment; built environment; buildings/architecture; landscape architecture; cultural; Arts; visual arts; photography,Edward Tuckerman Potter; Samuel Langhorne Clemens; Olivia Louise Clemens (nee Langdon),"351 Farmington Ave, Hartford, CT ",41.76717154,,The Mark Twain House & Museum,Exterior 1874-81 -7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
First-floor-(2)-,first-floor2--2-.psd,,,First Floor Layout of Mark Twain House,,,,,,,,,The Mark Twain House & Museum,First floor (2) ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
"Friends-Photos---Gillette,-William--10",Friends-Photos---Gillette--William--10.jpg,,,William Gillette,,c. 1875,,,,,,,The Mark Twain House & Museum,"Friends Photos - Gillette, William -10",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Front-Hall--1-Groo-2023-,Front-Hall--1-Groo-2023.jpg,,,Front Hall ,John Groo,2023,,,,,,,The Mark Twain House & Museum,Front Hall -1 Groo 2023 ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
Front-Hall-marble-cleaning,Front-hall-marble-cleaning.jpg,,,Front Hall Marble Floor,,2000s,,,,,,,The Mark Twain House & Museum,Front Hall marble cleaning,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
"Gabrilowitsch,-Ossip--3",Gabrilowitsch--Ossip--3.tif,,,Ossip Gabrilowitsch ,,,,,,,,,The Mark Twain House & Museum,"Gabrilowitsch, Ossip -3",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Hartford_Courant_18711002,Hartford_Courant_18711002,,,"October 2, 1871 Hartford Courtant adversistement for Allyn Hall including a Wednesday, November 8th Evening lecture by Mark Twain",Hartford Courtant,11/02/1871,,Economic; Industry; Printing; Arts; Cultural; Preforming Arts; Lecturing,Samuel L. Clemens,"Allyn House, corner of Asylum and Trumbull Streets, Hartford, CT",41.76729993,-72.67591446,Newspapers.com,Hartford_Courant_18711002,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Accessed and Clipped from Newspapers.com on 03/04/2024,
Hartford_Courant_18711106,Hartford_Courant_18711106,,,"October 6, 1871 Hartford Courtant listing of events for ""Hartford and Vicinity"" including a Wednesday, November 8th ""Institute Lecture"" by Mark Twain at Allyn Hall",Hartford Courtant,11/06/1871,,Economic; Industry; Printing; Arts; Cultural; Preforming Arts; Lecturing,Samuel L. Clemens,"Allyn House, corner of Asylum and Trumbull Streets, Hartford, CT",41.76729993,-72.67591446,Newspapers.com,Hartford_Courant_18711106,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Accessed and Clipped from Newspapers.com on 02/29/2024,
Hartford_Courant_18730130,Hartford_Courant_18730130,,,"January 30, 1873 Hartford Courtant adversistement for Allyn Hall including a Friday, Jnauary 31st Evening lecture by Mark Twain",Hartford Courtant,01/30/1873,,Economic; Industry; Printing; Arts; Cultural; Preforming Arts; Lecturing,Samuel L. Clemens; Father Hawley; Brown & Gross,"Allyn House, corner of Asylum and Trumbull Streets, Hartford, CT",41.76729993,-72.67591446,Newspapers.com,Hartford_Courant_18730130,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Accessed and Clipped from Newspapers.com on 03/04/2024,
Hartford_Courant_18730524_APC,Hartford_Courant_18730524_APC,,,"American Publishing Company's adverstiment for workers printed in the May 24, 1873 Hartford Courtant ",Hartford Courtant,05/24/1873,,Economic; Industry; Printing; labor,American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,Newspapers.com,Hartford_Courant_18730524_APC,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Accessed and Clipped from Newspapers.com on 08/4/2024,
Hartford_Courant_18731229_GildedAg,Hartford_Courant_18731229_GildedAg,,,"December 29, 1873 Hartford Courtant Article for ""The Gilded Age"" by Mark Twain and Charles Dudley Warner",Hartford Courtant,12/29/1873,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,Newspapers.com,Hartford_Courant_18731229_GildedAg,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,Accessed and Clipped from Newspapers.com on 08/4/2024,"In 1873 the book ""The Gilded Age"" by Mark Twain (Samuel L. Clemens) and Charles Dudley Warner was published by the Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
